                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    146,                0.77327,                 0.6027,                 1.0705,                0.60918,                0.33581,                0.36219,                0.20731,                    nan,                    nan,                    nan,               0.007129,               0.007129,               0.007129
                    147,                0.76083,                0.59544,                 1.0458,                0.71406,                0.33189,                0.41567,                0.24407,                    nan,                    nan,                    nan,              0.0071092,              0.0071092,              0.0071092
                    148,                0.74614,                0.58589,                 1.0379,                0.81738,                0.28373,                0.35381,                0.21508,                    nan,                    nan,                    nan,              0.0070894,              0.0070894,              0.0070894
                    149,                0.73127,                0.59966,                 1.0402,                0.64097,                0.31195,                0.37316,                 0.2382,                    nan,                    nan,                    nan,              0.0070696,              0.0070696,              0.0070696
                    150,                0.79002,                 0.6008,                 1.0666,                0.55061,                0.34673,                0.36731,                0.22054,                    nan,                    nan,                    nan,              0.0070498,              0.0070498,              0.0070498
                    151,                0.74976,                0.59707,                 1.0651,                0.65049,                0.29961,                0.38454,                0.22995,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                    152,                0.77479,                0.61051,                 1.0825,                0.62757,                0.31002,                0.35675,                0.19907,                    nan,                    nan,                    nan,              0.0070102,              0.0070102,              0.0070102
                    153,                 0.7141,                0.56629,                 1.0402,                0.58557,                0.28132,                0.32801,                0.17851,                    nan,                    nan,                    nan,              0.0069904,              0.0069904,              0.0069904
                    154,                0.75748,                0.57823,                 1.0915,                0.55446,                0.33085,                0.32555,                0.16513,                    nan,                    nan,                    nan,              0.0069706,              0.0069706,              0.0069706
                    155,                0.72452,                0.58704,                 1.0431,                0.68094,                0.30265,                0.35169,                0.19147,                    nan,                    nan,                    nan,              0.0069508,              0.0069508,              0.0069508
                    156,                0.76808,                0.59007,                 1.0707,                 0.6174,                0.33581,                0.36224,                0.21353,                    nan,                    nan,                    nan,               0.006931,               0.006931,               0.006931
                    157,                0.69836,                 0.5619,                 1.0256,                0.46569,                0.33631,                0.34658,                0.21542,                    nan,                    nan,                    nan,              0.0069112,              0.0069112,              0.0069112
                    158,                0.75782,                0.57868,                 1.0379,                0.45595,                0.33442,                0.35348,                0.19941,                    nan,                    nan,                    nan,              0.0068914,              0.0068914,              0.0068914
